Location_ID,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63,emb_64,emb_65,emb_66,emb_67,emb_68,emb_69,emb_70,emb_71,emb_72,emb_73,emb_74,emb_75,emb_76,emb_77,emb_78,emb_79,emb_80,emb_81,emb_82,emb_83,emb_84,emb_85,emb_86,emb_87,emb_88,emb_89,emb_90,emb_91,emb_92,emb_93,emb_94,emb_95,emb_96,emb_97,emb_98,emb_99,emb_100,emb_101,emb_102,emb_103,emb_104,emb_105,emb_106,emb_107,emb_108,emb_109,emb_110,emb_111,emb_112,emb_113,emb_114,emb_115,emb_116,emb_117,emb_118,emb_119,emb_120,emb_121,emb_122,emb_123,emb_124,emb_125,emb_126,emb_127
100,0.033491723,-0.16908942,-0.2156393,-0.06881362,0.106450446,0.030042727,-0.026680661,0.14687334,0.14217815,-0.12323384,0.20844325,0.08939033,0.2972331,-0.16168523,0.28020102,-0.18636313,-0.36408126,0.18880871,0.37174582,0.33311015,0.0062247925,-0.1241883,0.15379797,-0.23510833,0.021726616,0.0038343072,0.017271716,0.21031925,-0.035577655,0.038069382,0.16228788,0.1334782,0.059757713,0.01380262,0.10684876,-0.29576933,0.019214999,0.02903486,-0.20756692,-0.087468,0.099645294,0.15633912,0.17144987,0.043839723,-0.2974618,-0.13210993,-0.224317,0.08061541,-0.035685465,-0.1507873,-0.12707122,-0.069566146,-0.09391703,0.049828473,0.1500648,0.092271164,-0.26107335,0.1727499,-0.1432119,-0.23948887,-0.11987708,0.15273337,-0.14794298,0.056029193,0.02576979,0.2559011,-0.1380022,0.19599536,-0.23023398,0.052876838,-0.10889323,-0.24768399,0.21564406,0.105923764,0.15458398,0.19027618,0.056518756,-0.05634819,0.3828259,0.20572793,0.23300245,0.049304537,-0.37256092,0.25057077,0.22035718,-0.14842449,-0.4131706,-0.043953396,0.06696709,-0.14650787,-0.1086134,0.22925104,0.36803478,-0.072557926,-0.14238307,-0.09001168,-0.0414436,0.044344634,-0.45822853,-0.064611495,0.120454,0.13991293,-0.24164096,0.033989623,0.010505122,-0.028397758,-0.05337645,0.024422023,-0.07608805,0.029010218,-0.06240554,0.0171469,-0.0411146,-0.04295409,-0.05327052,-0.14660971,0.07079725,-0.1976884,-0.022316435,-0.035348583,0.09725511,-0.15732826,-0.14617373,-0.36123323,0.023370387,0.2308194,0.2195647,-0.17936143
1009,0.09570046,-0.1444712,-0.26796705,-0.025032353,-0.023166567,0.043645706,-0.19546893,0.109596804,0.21645972,-0.059064217,0.20893353,-0.08685352,0.09497286,-0.2231664,0.112448454,-0.40855014,-0.33316135,0.07769349,0.22826484,0.47537893,0.18438312,-0.38363072,0.009988748,-0.2358705,-0.12170914,0.014969522,0.16528247,0.19685148,-0.14602686,-0.30722472,0.21338072,0.25629786,0.2035536,0.3169481,0.045396365,-0.4050824,-0.07583837,0.3889835,-0.15615985,-0.28266978,0.15636018,0.13440216,-0.18180709,-0.0010105595,-0.2017799,-0.18036452,-0.102048695,0.362238,-0.29595286,-0.5658462,0.15017946,-0.14285025,-0.31550008,-0.21534036,-0.0004889071,0.3099575,-0.10127409,0.19001484,0.37430197,-0.13383974,-0.3400919,0.25038645,0.06743799,0.2179175,-0.17120966,0.46895522,-0.07728525,0.2925068,-0.06588152,-0.029019514,0.091325395,0.08840483,0.03675022,0.20061198,0.050068118,-0.004119966,0.09703986,-0.042696703,0.275173,0.10861523,-0.054989368,0.022429707,-0.23353657,0.026057504,-0.28060335,-0.11780958,-0.15958336,-0.027786601,-0.004433021,0.051676273,-0.10927609,0.39343834,0.38053104,-0.160175,-0.28409243,-0.14940262,0.13123247,0.25071034,-0.34029466,0.02768837,0.123177975,0.12905951,-0.22589365,-0.24435459,-0.23932245,-0.09126714,0.08356327,-0.011227336,0.13858531,-0.07991259,-0.070865236,0.099485956,0.0014995486,0.17732291,0.31204396,-0.11844126,-0.06844687,-0.16768405,-0.119264066,-0.04209126,-0.12295945,-0.1127387,-0.32988614,-0.038069516,-0.012399636,0.28916454,0.26944196,-0.15096147
101,-0.0636994,0.015821088,0.031419337,0.053554993,-0.07636961,0.09950204,0.08591571,0.053964224,-0.0865009,0.051202286,0.0646094,0.06498058,-0.03208058,-0.050353505,0.102827065,-0.10659153,-0.14134255,0.05252702,0.0795818,0.08052078,-0.03504925,0.05000971,0.016280495,-0.067535706,-0.07739004,0.06197856,0.029896095,-0.04183969,0.011074739,0.08224653,0.15035073,-0.054162025,-0.033751346,-0.08783812,-0.018920619,-0.1472701,-0.045825683,-0.002698265,-0.1272486,0.014909048,0.012049221,0.1266491,0.028100327,-0.037886202,-0.23417415,-0.15926401,-0.1858441,0.043406263,-0.0041456483,-0.20860437,-0.058489982,-0.004998861,-0.04866553,0.10449208,0.013283541,-0.012906723,-0.1222249,-0.020191776,0.031067826,-0.13280672,-0.0074842554,0.04915964,-0.016037777,0.015088535,-0.017992081,0.003865189,-0.025402687,0.043634478,0.026870746,0.068702534,-0.060842287,-0.21989153,0.17828573,0.038280793,0.057109296,0.045114815,-0.08179377,-0.024660092,0.077407554,0.03358752,-0.056896202,0.018254511,0.014835453,0.037866063,-0.074298166,-0.101471394,-0.12116122,0.016505778,0.19718453,-0.08598466,-0.060965233,0.15844674,0.14291017,-0.03209036,0.0085788295,-0.046247162,-0.021102406,0.21471514,-0.1661238,-0.09597523,0.11978277,0.06363739,-0.1493178,-0.09013833,-0.008047573,-0.07344031,0.09595606,0.06870541,-0.030797135,-0.06323956,-0.10067645,-0.0010030884,-0.003883995,-0.040847294,0.013200584,0.046338074,-0.070464164,-0.08770579,0.068053246,0.113988176,-0.02298535,0.015509164,-0.09994222,-0.08774674,-0.02278688,0.016449613,0.041497435,0.05533974
102,-0.0839793,-0.07854188,-0.088541895,-0.059965983,-0.046458624,0.11272903,0.023537925,0.22470959,-0.056564644,0.017877461,0.07372469,0.013972375,0.109498195,0.032506835,0.17963892,-0.045362018,-0.15925196,0.15229726,0.20089403,0.14987606,-0.046268497,0.04920866,-0.03315692,-0.19261405,-0.042797066,0.020220874,0.13850552,0.16937324,-0.059827577,-0.10976614,0.14892812,0.14165047,-0.12469664,-0.06899705,0.19531159,-0.19772315,-0.13864754,0.036748048,-0.11346269,-0.07750327,0.12571006,0.054686192,0.101642296,0.018036969,-0.13647638,-0.19576268,-0.18720657,0.10957776,0.036216676,-0.253596,-0.05009404,-0.08094741,-0.19042243,-0.04279061,0.039483167,0.08545015,-0.15890631,0.013181126,-0.019574322,-0.2219113,-0.1867222,0.067378744,0.06434437,0.04390943,-0.035368126,0.04119869,-0.11688049,0.1032628,0.025792092,0.066078626,0.04405854,-0.041978344,0.16589507,0.07214713,-0.005573658,-0.09103102,-0.011254784,0.06531857,0.16116422,0.04094109,0.101038285,0.051225055,-0.16761431,-0.0014592679,-0.049463294,-0.1494831,-0.123465605,0.13034989,0.14217494,0.015923299,-0.22811306,0.15250435,0.07857185,-0.11273085,0.03237418,-0.07502006,-0.10672553,0.10354077,-0.21155427,0.09832327,0.08142375,0.070597425,-0.11634072,-0.026662905,0.020796921,0.011075466,0.028513175,-0.094736405,0.04127864,0.08952978,-0.13917217,-0.0066986503,0.0812698,-0.014254641,0.030349724,0.00043396,-0.025316643,-0.18576057,0.010205157,-0.03234671,0.02306874,-0.17273085,-0.083361074,-0.16458617,0.012322309,0.23057996,0.070892945,-0.19792801
1024,-0.103972614,-0.29993948,0.032787617,0.19626756,-0.203769,0.31758797,0.09793492,0.1251331,-0.18969497,-0.005973488,0.09177476,0.05131265,-0.21750203,-0.16787058,-0.26809207,-0.066267714,0.083752215,-0.04130804,0.16666277,-0.3068751,-0.36503834,-0.14389287,-0.21499807,-0.011054106,-0.012687881,0.10186896,0.1223767,-0.123232365,0.016429555,0.18856476,0.027141387,-0.49632633,-0.2170524,-0.07291745,-0.29102242,-0.027509088,-0.13085309,-0.06800953,-0.15942965,0.21998125,0.0058279857,0.027361117,-0.17560641,-0.18948779,0.082535766,-0.41038564,0.34605372,-0.44425726,0.770032,-0.4188087,0.05675535,0.39963937,0.28092912,0.13713266,0.15203144,-0.099397615,-0.09376669,-0.36240047,-0.451444,-0.27136374,0.06542352,0.00400465,-0.097649,0.34385556,0.015997166,-0.015380707,0.012450136,0.155769,0.15582353,0.29044715,0.16313782,0.074092895,0.26911712,-0.006222347,-0.23832545,0.08580947,-0.097254045,0.02440217,0.0023864694,-0.26258183,-0.31014195,0.10939133,0.13990296,-0.15866898,-0.18357036,-0.20043968,-0.12010906,-0.106310785,-0.0021931455,-0.056555185,-0.3046795,-0.16509177,0.23293567,0.09002493,0.15336815,-0.016410932,-0.14356142,0.0029787757,0.27953735,-0.2852782,0.13798214,-0.07853591,0.19164754,-0.084134184,0.24784143,0.21998489,0.14336155,0.37315318,-0.04383935,0.4103735,0.09548344,-0.15101911,0.032198273,0.2748658,0.29223436,0.12951961,0.20717013,0.26319036,0.23348191,-0.13222286,-0.05698363,-0.06710949,-0.061403587,-0.064936675,0.11952857,-0.068271294,-0.21379255,0.064630106
1026,-0.04150128,-0.04074408,0.0872257,-0.005803591,-0.03470616,0.20449372,0.086020306,0.13229986,-0.21716887,-0.09826029,0.07150034,-0.004114993,-0.30262038,-0.12462485,-0.09082952,-0.25446755,-0.017925624,-0.24241726,0.114695944,-0.010250229,-0.29996517,0.106974594,-0.087461784,0.103450045,-0.1704352,0.10458597,0.08442253,-0.107900634,-0.033184305,0.1980164,0.05129173,-0.35172847,-0.20926243,0.08247143,-0.2682391,-0.15061432,-0.11696449,-0.13897452,-0.04717526,0.032204546,-0.19352065,0.21552128,0.027653143,-0.04462146,-0.08195857,-0.26265723,0.015118256,-0.108126044,0.3747308,-0.20956561,0.03842213,-0.02573948,0.08814773,0.08218935,-0.036502633,-0.017071677,-0.007312037,-0.137062,-0.24406324,0.067576565,0.10794071,-0.17183709,-0.023151485,-0.0050137676,-0.089269415,0.079412684,0.16861732,0.21345538,0.10634194,0.20384604,0.060738746,-0.033992372,0.22829512,-0.03308952,0.030626306,-7.851422e-05,-0.0029370943,0.12168418,0.051361576,-0.06322682,-0.05688592,0.050802525,0.04238611,-0.13909557,-0.22333738,0.003868957,-0.08261974,0.006447442,0.06252848,0.03875232,-0.19061983,0.093519285,0.0073073953,0.12910001,0.06905198,0.1579841,-0.17912653,0.03190137,0.11799565,-0.050755225,-0.073145695,0.054789245,0.008947652,-0.046643164,0.11802937,0.003612062,0.24381311,0.06777162,0.16164176,0.11977863,0.10022948,-0.006759286,0.01826174,0.10767968,0.08859732,0.042639226,0.1392663,0.15450908,0.07338497,-0.104261786,0.13275065,-0.070668705,-0.08831234,-0.1133675,0.11860645,-0.20566049,-0.24679126,-0.12202798
1048,-0.03585364,-0.13726881,-0.041946404,0.017740633,-0.05918128,-0.021342337,0.050199922,-0.03070052,-0.07900602,0.033571854,0.10113336,0.032020725,0.031264033,-0.04365983,0.11163066,-0.11272474,-0.10036775,0.091987796,0.08725827,0.12260446,0.019646475,0.017987793,0.079873,-0.075785205,-0.05256974,-0.019102365,-0.021301514,0.08843871,0.03623202,-0.024492802,0.19339763,-0.03419814,-0.06902889,-0.19947411,0.053401563,-0.09879853,-0.010408017,0.012124491,-0.059482776,0.040419996,0.019328112,-0.093994886,0.038782727,0.010935631,-0.03949325,-0.17086641,-0.16030052,0.009671774,0.1373139,-0.15055503,-0.053494416,0.042178363,-0.025349952,0.011845199,0.017899932,0.013505937,-0.014916223,-0.13437131,-0.009186765,-0.11070737,-0.027695097,0.05049725,0.01811179,-0.027767742,-0.03067744,0.011125333,-0.096419856,0.08537832,-0.042723443,0.07283501,-0.034881726,-0.039691493,0.2592407,-0.09545076,-0.038744166,0.028126823,-0.0037301658,0.01725585,0.07859406,0.037849832,0.029329447,0.007730389,-0.20718068,0.055552457,0.01742934,0.0045773666,-0.14747277,0.07924805,0.15970847,0.073494196,-0.11858187,0.07996163,0.093043596,-0.09434509,-0.009198396,0.017177425,-0.06036173,0.06879073,-0.07151891,0.08678974,0.03383822,0.09474075,-0.0382225,0.00832052,0.10068405,-0.029374884,0.06307685,-0.03406696,-0.06866923,0.010469774,-0.023753189,-0.081574805,0.030032279,0.022502765,0.035700224,-0.0030163694,0.050692514,-0.03461371,0.0637929,0.05034047,-0.05639115,-0.13840209,-0.026810035,-0.05773317,0.06505554,0.110442206,-0.010344068,-0.10897404
10519,-0.045965537,-0.32531458,-0.19021524,0.054625243,-0.13101578,0.18674186,-0.31525218,0.15427464,0.029670186,-0.09357156,0.110318534,-0.18855707,-0.32969648,0.15566063,0.031342193,-0.56777334,-0.22432826,-0.046144143,0.36311495,0.20256692,0.09749478,-0.1435941,0.030098166,-0.118930236,0.014729935,-0.12790638,0.49238995,0.35381478,-0.058032997,-0.1015621,0.114365,0.39701328,0.016684216,0.08710569,0.12778042,-0.15579504,-0.118576825,0.1279742,0.05207058,-0.055042636,0.29586014,0.08458664,0.25205526,0.0926867,-0.32571036,-0.07071288,-0.13966627,0.5263188,-0.16618267,-0.3357838,-0.0909891,0.10766953,-0.1526935,-0.15190086,0.09539185,0.31739077,-0.06389874,0.2363731,0.14608306,-0.13235697,-0.18870586,0.106578656,-0.07951122,0.0655193,-0.021129835,0.2381689,-0.27542898,-0.114592865,-0.043465495,0.30416748,0.08041362,0.07252981,0.2196307,0.32303408,0.21845484,-0.15192053,0.26926088,-0.16094072,0.13219316,0.1569348,0.34494525,-0.18133593,-0.07276146,0.06333071,-0.2296481,-0.27073288,-0.5525148,0.07755157,0.007633066,-0.099578835,-0.059505083,0.24424542,0.36383355,-0.15592727,-0.07903828,-0.29996738,0.02727174,0.5230517,-0.43308112,0.00975617,0.0554728,0.0818961,-0.19062997,-0.10170838,-0.0035775136,0.1918482,-0.12235208,0.062121015,0.0008516088,-0.04262142,-0.1915104,-0.14766315,0.18348971,-0.53670615,0.030238617,0.08840682,0.052842468,-0.39004064,-0.093707815,0.09003889,-0.0031884853,-0.16296227,-0.37655777,-0.35352063,0.12203741,0.38489008,0.34214482,-0.045235224
1052,0.031112157,-0.085297726,-0.11665504,-0.0611532,0.1594207,0.011995621,-0.05485823,0.42848933,0.10667443,-0.05662114,0.112835065,0.1475242,0.22122729,-0.016231522,0.07091137,-0.07911227,-0.29618534,-0.041882224,0.40674382,0.29359645,0.019569155,-0.0032506771,0.045830082,-0.24757268,0.047331207,-0.19554576,0.34265935,0.21640529,-0.0757827,-0.4086158,-0.08108225,0.3780976,0.079463065,0.24438359,0.1758668,-0.27212068,-0.10841085,0.01656447,-0.25281817,-0.14199278,0.27607965,0.30189085,0.024635639,0.33400863,-0.21686102,-0.22376631,-0.092821434,0.2259089,-0.31563327,-0.1931825,-0.107799664,-0.1875087,-0.22553602,-0.09608437,0.007174149,0.373639,-0.15453961,0.21554689,0.11909114,-0.2509146,-0.18421192,0.14311822,0.16305691,-0.0045808963,-0.15024675,0.4658849,-0.16059898,0.11079532,-0.05129411,0.14736149,0.078448534,-0.021835297,-0.013826628,0.118499644,-0.06767152,0.0745578,0.14096627,-0.06000901,0.55118877,0.09468656,0.1201493,-0.067406125,-0.41825008,-0.035421204,-0.084684655,-0.2461578,-0.21099816,0.14129934,-0.101833805,0.048654098,0.031668454,0.21532768,0.070492044,-0.16625567,-0.082911626,-0.112458594,-0.13315216,0.3579631,-0.22822106,-0.065100245,0.16098219,-0.097669765,-0.19922064,-0.21610364,0.030922817,-0.033065505,-0.081232235,-0.2579325,-0.056915473,0.2268433,-0.24884392,0.014838431,0.17008372,-0.24277669,0.3139933,-0.13692059,0.10216129,-0.10656349,0.16934818,0.04357695,-0.03615281,-0.13469677,-0.083107516,-0.03865605,-0.04214593,0.44431663,0.16579884,-0.34300226
1056,0.06946327,-0.035603195,0.033896767,0.025253087,-0.07727581,0.2223732,0.07692451,-0.22819743,-0.18192594,0.21457358,0.28951803,0.10791781,0.021539904,-0.10236418,-0.014349312,-0.09638746,0.05078311,0.092427626,-0.12368129,-0.03876046,0.029547535,0.022819508,0.15951982,0.14940643,-0.1376183,0.034840718,-0.010876913,-0.11821409,0.08766628,0.15979713,-0.055904746,-0.16074306,0.025061805,0.06964381,0.0039061648,0.21257502,0.0074928477,0.03949844,-0.044358265,0.033091173,-0.063210115,0.2149507,-0.08334009,-0.10506603,0.08939147,0.046095014,0.004465323,-0.08063789,0.19727293,-0.17576027,-0.082399964,0.11108311,0.3563605,0.06448215,0.120886624,-0.09511265,-0.21930288,-0.15039705,-0.07164942,0.10399391,-0.0653264,-0.0042687915,0.07646702,-0.110135935,-0.055855364,0.24049076,-0.0065768734,0.11623395,0.10558076,0.1562837,0.1356582,-0.29024398,0.30090553,-0.0110521745,-0.055620197,0.08349629,-0.028119884,-0.001593791,-0.0021221465,-0.32015535,-0.0609368,-0.014334038,-0.015143737,0.12814988,-0.036962353,-0.13628349,0.021820996,0.06827339,0.110436365,0.08935598,-0.23329824,-0.13223499,0.10258254,-0.12890284,0.016425997,0.09607894,0.12370074,-0.004878066,0.13788842,-0.15040049,0.05525064,-0.08704214,-0.09106627,-0.054915454,-0.13992918,0.1056263,-0.052200858,0.17675915,0.13019435,-0.10014816,0.097610705,0.006222591,-0.069983244,-0.020089358,0.011926847,-0.09546995,0.0749416,0.11546896,-0.05893554,-0.018985339,0.1189557,0.0058013108,0.024521893,0.09395543,0.028513573,-0.02775244,-0.09902403,0.05733213
